,name,isVerified,rating,reviews,company_type,salaries,jobs
0,TCS,1,3.7,(93.1k),IT Services & Consulting,8.8L,163
1,Accenture,0,3.8,(58.9k),IT Services & Consulting,5.9L,10.8k
2,Wipro,1,3.7,(54.9k),IT Services & Consulting,4.5L,3.4k
3,Cognizant,1,3.7,(52.1k),IT Services & Consulting,5.7L,199
4,Capgemini,1,3.7,(43.7k),IT Services & Consulting,4.4L,2.1k
5,HDFC Bank,1,3.9,(41.1k),Banking,1.4L,521
6,Infosys,1,3.6,(40.9k),IT Services & Consulting,4.8L,2.3k
7,ICICI Bank,0,4.0,(39.3k),Banking,1.5L,15
8,HCLTech,1,3.5,(37.6k),IT Services & Consulting,3.4L,223
9,Tech Mahindra,1,3.5,(36.4k),IT Services & Consulting,2.7L,681
10,Genpact,0,3.8,(32.8k),IT Services & Consulting,2.1L,446
11,Teleperformance,1,3.9,(30.8k),BPO,91.2k,408
12,Concentrix Corporation,1,3.8,(27.3k),BPO,1.2L,135
13,Axis Bank,1,3.8,(26.4k),Banking,99.4k,173
14,Amazon,1,4.1,(26k),Internet,1.3L,2k
15,Jio,1,4.0,(24.1k),Telecom,63.5k,128
16,iEnergizer,1,4.6,(23.3k),BPO,22.7k,201
17,Reliance Retail,1,3.9,(23.1k),Retail,67.2k,106
18,IBM,1,4.0,(23.1k),IT Services & Consulting,2L,1.2k
19,LTIMindtree,1,3.8,(21.8k),IT Services & Consulting,1.7L,387
20,HDB Financial Services,0,3.9,(21k),NBFC,49.5k,201
21,Larsen & Toubro Limited,1,4.0,(19.3k),Engineering & Construction,69.6k,159
22,Deloitte,1,3.8,(18.4k),Management Consulting,1.9L,127
23,Kotak Mahindra Bank,0,3.7,(17.6k),Banking,82.8k,65
24,Reliance Industries,1,4.0,(16.6k),Oil & Gas,68.3k,27
25,BYJU'S,1,3.1,(16.2k),EdTech,58.4k,--
26,Vodafone Idea,1,4.0,(15.7k),Telecom,52.9k,24
27,Bharti Airtel,0,4.0,(14.2k),Telecom,46.7k,170
28,WNS,0,3.4,(12.4k),BPO,63k,112
29,Tata Motors,0,4.2,(12.2k),Automobile,41.3k,10
30,AU Small Finance Bank,1,4.2,(11.9k),Banking,26.1k,77
31,IndusInd Bank,1,3.5,(11.4k),Banking,49.4k,2.7k
32,Ernst & Young,1,3.4,(11.3k),Management Consulting,1.2L,1.9k
33,Flipkart,1,3.9,(11.1k),Internet,49k,107
34,IDFC FIRST Bank,1,3.9,(10.7k),Banking,45k,65
